longitude,latitude,id,name,start_date,operator:decription,education:type,education:type,education:type,education:type,education:type,operator:type,operator:type,operator:type,operator:type,operator:type,operator:type,operator:type,operator:type,government:registered,government:registered,government:registered,government:registered,education:gender_type,education:operate_as,education:exam_center,education:exam_affiliate,,education:students,education:students_male,education:students_female,education:teachers_male,education:teachers_female,education:fees,education:fees,education:fees,education:fees,education:sponsored_by,education:funding,education:funding,education:funding,education:funding,education:funding,education:funding,education:funding,education:funding,education:fees_per_term,education:fees_level1,education:fees_level2,education:fees_level3,education:fees_level4,education:fees_other,building:material,building:material,building:material,accessibility,accessibility,accessibility,education:program_feeding,education:program_feeding_description,education:program_feeding_description,education:program_feeding_description,toilet:teachers,toilet:teachers,toilets:female,toilets:male,toilet:present,building:classrooms,building:library,internet_access,electricity:operational_status,waste:garbage_disposal,laboratory,laboratory:equipment,laboratory,barrier:gate,barrier:security_fence,playground,room:staff,room:kitchen,education:teachers_male,education:teachers_female,education:teachers_trained,education:tsc_employed,education:extra_sports,education:extra_drama,education:extra_woodwork,education:extra_scouts/girl_guide,education:extra_music,education:extra_nature_club,education:extra_agriculture_club,education:extra_other,education:pta,education:management_committee,education:board_of_management,education:other
36.855557,-1.263168,21,Mcdeo beijing academy,n/a,n/a,n,y,y,n,n,n,n,n,y,n,n,n,n/a,government registered,n/a,n/a,n/a,Mixed boys and girls,Day scholars only,y,n/a,n/a,320,158,162,10,5,n,n,y,n/a,n/a,n,n,n,n,n,n,y,n/a,1800,1500,1500,1800,n/a,n/a,y,n,n/a,y,y,y,y,n/a,100,n,1,1,1,1,inside school compound,10,y,n,sometimes,sometimes,n,n,n,y,y,y,y,y,n/a,n/a,n/a,n/a,y,y,n,n,y,n,n,n/a,y,n,n,n/a
36.868558,-1.259127,22,Ananda marga academy,1995,n/a,n,y,n,n,n,n,n,n,n,y,n,n,n/a,n/a,n/a,n/a,registered as a business,Mixed boys and girls,Day scholars only,y,n/a,in the process,206,n/a,n/a,9 total,n/a,y,n,n,n/a,n/a,n,n,n,n,n,n,n,n/a,3000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,y,y,y,n,n,10 shillings per day,n/a,1,1,2,2,inside school compound,n/a,y,n,always,n/a,n,n,n,y,y,y,y,y,n/a,n/a,7,n/a,y,n,n,y,y,y,n,n/a,y,n,n,n/a
36.865959,-1.258678,23,Eljoy education center,n/a,n/a,n,y,n,n,n,n,n,n,n,n,n,y,n/a,n/a,n/a,n/a,n/a,Mixed boys and girls,Day scholars only,n,Ngei PAG,in the process,100,n/a,n/a,3,6,y,n,n,n/a,n/a,n,n,n,n,n,n,n,n/a,3200,n/a,n/a,n/a,n/a,n/a,y,n,n/a,y,y,y,y,n,30 shillings per day,n,2 shared with male teachers,2 shared with female teachers,2,2,inside school compound,8,y,n,always,always,n,n,n,y,n,y,y,y,3,6,4,n/a,y,y,n,y,y,n,n,n/a,n,n,y,n/a
36.865959,-1.258678,24,Eljoy education center,n/a,n/a,y,n,n,n,n,n,n,n,n,n,n,y,n/a,n/a,n/a,n/a,n/a,Mixed boys and girls,Day scholars only,n,n/a,in the process,160,n/a,n/a,3,3,y,n,n,n/a,n/a,n,n,n,n,n,n,n,n/a,3000,n/a,n/a,n/a,n/a,n/a,y,n,n/a,y,y,y,y,n,30 shillings per day,n/a,1,1,2,2,inside school compound,3,y,n,always,always,n,n,n,y,n,y,y,y,3,3,n/a,n/a,y,n,n,n,n,n,n,n/a,n,n,y,n/a
36.870719,-1.259225,25,Emmanuel education center,2012,n/a,n,y,n,n,n,n,n,n,n,n,n,n,CBO,n/a,n/a,n/a,CBO/NGO,Mixed boys and girls,Day scholars only,n,n/a,2016,528,n/a,n/a,n/a,2,y,n,n,n/a,n/a,n,n,n,n,n,n,n,n/a,3600,n/a,n/a,n/a,n/a,n/a,y,n,n/a,n,n,y,y,n,30 shillings per day,n,1,n/a,1,1,inside school compound,n/a,n,n,always,always,n,n,n,y,y,y,y,y,n/a,n/a,n/a,n/a,y,n,n,n,y,y,n,n/a,n,n,y,n/a
36.867579,-1.253285,26,Success junior academy,2005,n/a,n,y,n,n,n,n,y,n,n,n,n,n,n/a,government registered,n/a,n/a,n/a,Mixed boys and girls,Day scholars only,n,n/a,n/a,n/a,60,80,4,6,y,n,n,n/a,n/a,n,n,n,n,n,n,n,n/a,n/a,2800,3000,3600,n/a,n/a,y,n,n/a,y,y,y,n,n,n/a,n,1,1,shared with teachers,shared with teachers,inside school compound,n/a,y,n/a,always,often,n,n,y,y,n,n,y,y,4,6,10,n/a,y,y,n,y,n,n,n,n/a,y,n,n,n/a
36.876873,-1.249874,27,Mathare methodist education center,2010,n/a,n,y,n,n,n,n,n,n,n,y,n,n,n/a,n/a,n/a,n/a,CBO/NGO,Mixed boys and girls,Day scholars only,n,n/a,n/a,130,58,82,1,5,n,n,y,n/a,church,n,n,n,n,n,n,n,faith based organisations,1500,1200,1500,1800,n/a,n/a,n,y,n/a,y,y,y,y,n,sponsored,y,1,n/a,1,1,inside school compound,n/a,n,n,never,n/a,n,n,n,y,n,n,y,y,1,5,2,n/a,y,y,n,y,y,n,n,n/a,n,n,y,n/a
36.874741,-1.251265,28,Blossom children's centre,2006,n/a,n,y,n,n,n,n,n,n,n,n,n,y,n/a,n/a,provisional APBET certificate,n/a,n/a,Mixed boys and girls,Day scholars only,n,n/a,n/a,210,105,105,9,9,y,n,n,n/a,n/a,n,y,n,n,n,n,n,n/a,3000,3000,3500,3500,n/a,n/a,n,y,n/a,y,y,y,y,y,500,n,1,1,3,2,inside school compound,n/a,n,n,always,always,n,n,n,y,n,n,y,y,9,9,13,n/a,y,y,n,y,y,n,n,n/a,n,n,y,n/a
36.876739,-1.249894,29,Newlight academy,2014,n/a,n,n,y,n,n,n,y,n,n,n,n,n,n/a,n/a,n/a,n/a,CBO/NGO,Mixed boys and girls,Day scholars only,n,n/a,n/a,80,30,50,5,1,y,n,n,n/a,n/a,n,n,n,n,n,n,n,n/a,n/a,n/a,n/a,n/a,6000,n/a,y,n,n/a,n,n,y,y,y,800 per month,n,1,1,n/a,n/a,inside school compound,4,n,n,always,always,n,n,n,y,n,n,y,y,5,1,3,n/a,y,n,n,n,y,n,n,n/a,y,y,y,n/a
36.874387,-1.250442,30,Pillar of hope education centre,2017,n/a,y,n,n,n,n,n,n,n,n,n,n,n,CBO,n/a,provisional APBET certificate,n/a,CBO/NGO,Mixed boys and girls,Day scholars only,n,n/a,n/a,n/a,40,46,1,3,y,n,n,n/a,n/a,n,n,n,n,n,n,n,n/a,n/a,2000,2500,2500,n/a,n/a,y,n,n/a,n,n,y,n,n,n/a,n,1,1,n/a,n/a,inside school compound,7,n,n,always,always,n,n,n,y,n,y,y,y,1,3,0,n/a,n,y,n,n,n,n,n,n/a,n,n,y,n/a
36.872903,-1.259506,31,huruma mixed secondary,I do not know,public,n,n,y,n,n,y,n,n,n,n,n,n,n/a,government registered,n/a,n/a,n/a,mixed boys and girls,Day scholars only,y,n/a,2017,n/a,54,80,3,4,y,n,n,n/a,n/a,n,n,n,n,n,n,n,n/a,20000,n/a,n/a,n/a,20000,n/a,n,y,n/a,y,y,y,y,y,3500,n,1,1,1,1,inside school compound,0,n,n,always,always,n,y,n,y,y,y,n,n,3,4,none,n/a,y,n,n,y,n,n,y,n/a,n,n,y,n/a
36.860017,-1.264218,32,mathare community outreach joy,1994,Mr Daniel Ogutu,y,y,y,n,n,n,y,n,y,y,y,y,n/a,government registered,n/a,n/a,n/a,mixed boys and girls,Day scholars only,Y,n/a,n/a,543,258,285,6,9,y,n,y,n/a,"bright hope,compassion canada and mama africa",n,y,n,n,n,n,y,n/a,2400,2400,2400,2400,n/a,200 for examination fee,n,y,n/a,y,y,y,y,y,50,y,1,1,4,4,inside school compound,11,y,n,always,always,y,y,y,y,y,y,y,y,6,9,12,0,y,n,n,y,y,y,n,n/a,y,y,y,n/a
36.877822,-1.253484,33,sunflower academy,1978,n/a,y,y,y,n,n,n,y,n,y,n,n,n,n/a,government registered,private,city council,n/a,mixed boys and girls,Day scholars only,y,n/a,n/a,n/a,50,55,4,5,y,n,n,n/a,n/a,n,n,n,n,n,n,n,n/a,n/a,3000-3500,4000,4500,5600,n/a,y,n,n/a,n/a,n/a,y,y,y,2000,n,1,1,10,10,inside school compound,8,n,n,always,always,y,y,y,y,y,y,y,y,n/a,n/a,n/a,n/a,y,y,n,y,n,n,n,n/a,n,n,n,n/a
36.870321,-1.260226,34,daima primary,1990,nairobi city county,y,y,n,n,n,y,n,n,n,n,n,n,n/a,government registered,n/a,n/a,n/a,mixed boys and girls,Day scholars only,y,n/a,n/a,n/a,1350,1050,11,33,n,y,n,n/a,n/a,n,n,y,n,n,n,n,n/a,n/a,4000,400,400,n/a,n/a,y,y,n/a,y,y,y,y,y,"600,000 for the whole school",y,2,1,18,12,inside school compound,33,n,n,always,often,n,n,n,y,y,y,y,y,11,33,21,37,y,y,n,y,y,n,n,n/a,n,n,y,n/a
